WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
4552,,,,51.055763,-113.212956,,19,SW,24,23,4,1973,,approx. 75 ft east of house,SW-19-024-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4553,,120249,,51.373609,-112.637829,,8,SE,28,19,4,1968,,in pit in green pumphouse,SE-08-028-19-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4554,,280064,,51.401079,-112.746364,,15,NW,28,20,4,1995,,approx. 8ft west of shop by treeline,NW-15-028-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4555,,229062,,51.411603,-112.747958,,21,NE,28,20,4,,,Offset in Basement,NE-21-028-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4556,,,,50.900987,-113.053564,,25,NE,22,23,4,,,in tin pumphouse,NE-25-022-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4557,,111674,,50.898929,-113.053474,,25,SE,22,23,4,1969,,In pit behind garage,SE-25-022-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4558,,112120,,50.988373,-113.269156,,27,NE,23,24,4,1987,,approx. 250 ft NW of house,NE-27-023-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4559,,,,51.295349,-112.965915,,12,NE,27,22,4,,,Approx. 75 ft east of house in pit,NE-12-027-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4560,,,,52.6353,-113.412809,,20,NE,42,24,4,1972,,35 m SE of house,NE-20-042-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4561,,40629,,50.957646,-113.213132,,18,SW,23,23,4,2002,,approx. 6 ft east of house,SW-18-023-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4562,,,,50.994125,-113.261983,,27,NE,23,24,4,,,approx. 5 ft north of shop,NE-27-023-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4564,,,,51.42962,-113.263664,,26,NE,28,24,4,1994,,SE of House beside garden,NE-26-028-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4565,,,,51.327706,-113.729243,,22,NW,27,27,4,,,SE Corner of House under Deck,NW-22-027-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4566,,,,50.949531,-113.552927,,10,NW,23,26,4,,,offset in Quonset,NW-10-023-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4567,,,,51.342525,-113.729391,,27,NW,27,27,4,2000,,approx 60ft SW of house by fence,NW-27-027-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4568,,,,51.346753,-113.687002,,35,SE,27,27,4,,,approx 60 ft NW of house,SE-35-027-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4569,,,,51.049896,-113.634487,,13,NE,24,27,4,2005,,approx 100ft south of barn,NE-13-024-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4570,,,,51.321731,-113.740917,,21,NE,27,27,4,,,SW of House,NE-21-027-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4571,,,,51.100794,-113.63131,,6,SW,25,26,4,2004,,Approximatley 10 m North of the railway bed,SW-06-025-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4572,,,,51.101255,-113.631207,,6,SW,25,26,4,,,approx 30 M N of Railroad,SW-06-025-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4573,,,,51.328266,-113.746059,,21,NW,27,27,4,,,approx 100' NW of House,NW-21-027-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
