geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-113.246587 52.406092),7403,10065,52.406092,-113.246587,1216697,484.0,6.0,0.005,0.01,7.54,590.0,777.0,0.08,455.0,1.1,0.464,0.03,214.0,116.0,112.0,3.4,40.1,0.3,0.02,99.0
POINT (-113.241661 52.406842),538,2163,52.406842,-113.241661,1156455,528.0,6.0,0.005,0.01,7.88,644.0,784.0,0.18,502.0,2.1,1.45,0.01,197.0,118.0,95.7,3.1,50.2,0.1,0.02,98.0
POINT (-113.239801 52.402013),4410,1566,52.402013,-113.239801,1155989,524.0,6.0,0.005,0.01,7.74,638.0,918.0,0.17,0.9,1.0,0.005,0.01,248.0,0.2,352.0,2.8,0.1,0.1,0.02,98.0
POINT (-113.239681 52.402114),7352,5136,52.402114,-113.239681,1216523,527.0,6.0,0.005,0.01,7.61,643.0,896.0,0.24,3.0,1.5,0.01,0.04,229.0,0.8,345.0,3.1,0.2,0.3,0.02,98.0
POINT (-113.226778 52.401596),188,6880,52.401596,-113.226778,1156185,819.0,20.0,0.005,0.01,8.49,957.0,868.0,1.11,4.8,5.8,0.005,0.06,0.9,1.6,368.0,0.9,0.2,0.1,0.02,97.0
POINT (-113.224186 52.40383),71,2067,52.40383,-113.224186,1155991,881.0,20.0,0.005,0.01,8.51,1030.0,928.0,0.81,7.0,3.9,0.005,0.06,1.0,2.5,389.0,1.5,0.2,0.8,0.02,96.0
POINT (-113.217216 52.4153),5946,6356,52.4153,-113.217216,1216415,471.0,40.0,0.009,0.017,8.7,431.0,870.0,1.76,8.23,190.0,0.006,0.006,0.07,2.8,338.0,0.7,0.3,0.049,0.017,107.0
POINT (-113.220598 52.419082),14620,14620,52.419082,-113.220598,1217881,370.0,10.0,0.2,53.5,7.0,451.0,1080.0,0.5,547.0,75.6,3.59,0.1,121.0,161.0,56.1,16.7,35.1,0.1,53.7,86.9
POINT (-113.242052 52.415826),14580,14580,52.415826,-113.242052,1217841,540.0,10.0,0.2,0.2,7.4,659.0,789.0,0.5,432.0,6.13,0.163,0.337,255.0,72.6,50.5,1.8,60.8,0.539,0.4,66.8
POINT (-113.246683 52.432183),14851,14851,52.432183,-113.246683,1218109,465.0,10.0,0.2,0.1,7.9,465.0,758.0,0.58,37.2,5.09,0.05,0.5,78.5,11.0,345.0,1.2,2.4,0.94,0.8,143.0
POINT (-113.248533 52.429649),10799,11978,52.429649,-113.248533,1205089,730.0,44.0,0.021,0.113,8.7,801.0,987.0,0.76,51.0,3.0,0.02,0.1,133.0,10.8,392.0,3.9,5.9,0.7,0.113,104.0
POINT (-113.247037 52.434598),14834,14834,52.434598,-113.247037,1218092,760.0,10.0,0.2,0.1,8.3,750.0,1190.0,0.5,17.8,4.67,0.05,0.1,422.0,7.1,452.0,1.1,1.0,0.1,0.4,83.2
POINT (-113.246033 52.434566),196,7066,52.434566,-113.246033,1156415,759.0,19.0,0.005,0.02,8.48,888.0,1230.0,0.65,25.0,3.0,0.126,0.08,302.0,9.0,458.0,1.4,0.7,0.3,0.02,95.0
POINT (-113.246599 52.439699),11237,6500,52.439699,-113.246599,1208449,711.0,33.0,0.015,0.113,8.6,800.0,1050.0,1.08,27.0,2.0,0.021,0.1,198.0,9.3,411.0,1.6,0.9,0.1,0.113,100.0
